Reads 100 times per second during 10 seconds (10000 readings)
1. Rotate on X axis, first go down and then go up, finish at the original position
2. Rotate on Y axis, first go left and then go right, finish at the original position
3. Rotate on Z axis, first turn it like it was to touch your right shoulder, then do the
	same for the left shoulder, finish at the original position

%BEGIN%
x = 0.624036, y = -0.00680853, z = -0.0653779, w = -0.778626
x = 0.592826, y = -0.0140964, z = -0.0674415, w = -0.802378
x = -0.547957, y = 0.0197438, z = 0.0686775, w = 0.833449
x = 0.757783, y = 0.00544448, z = -0.0677919, w = -0.648952
x = -0.823701, y = -0.0124591, z = 0.0649501, w = 0.563155
x = 0.791108, y = 0.0908617, z = 0.0182362, w = 0.604616
x = -0.972705, y = -0.0836035, z = -0.0430164, w = -0.212143
x = -0.908503, y = -0.104817, z = -0.123193, w = -0.385304
x = -0.829999, y = -0.119731, z = -0.218567, w = -0.498994
x = -0.401006, y = 0.040124, z = 0.133802, w = 0.905363
x = 0.209546, y = -0.0418853, z = -0.17684, w = -0.960762
x = -0.905287, y = -0.00889579, z = -0.0386017, w = 0.42295
x = -0.819826, y = 0.000302249, z = 0.00438644, w = 0.572596
x = 0.940664, y = -0.00230673, z = 0.0635192, w = -0.333334
x = -0.154635, y = -0.0214776, z = -0.292609, w = -0.943402
x = 0.778159, y = -0.0125691, z = 0.0223118, w = -0.627545
x = 0.912909, y = -0.0364299, z = 0.386434, w = 0.126248
x = -0.331657, y = 0.082209, z = -0.52848, w = -0.777145
x = 0.447761, y = 0.0244071, z = -0.258026, w = -0.855767
x = 0.555456, y = 0.0145318, z = -0.1922, w = -0.808898
x = 0.595367, y = -0.139892, z = 0.787039, w = 0.0808577
x = 0.724914, y = -0.109346, z = 0.594913, w = -0.329579
x = 0.584555, y = 0.0221275, z = -0.219916, w = -0.780668
x = -0.543063, y = 0.16033, z = -0.792943, w = 0.224985
x = 0.561399, y = -0.144899, z = 0.548484, w = -0.602495
x = 0.428297, y = 0.185459, z = -0.879812, w = -0.089986
x = -0.0432756, y = 0.191719, z = -0.735508, w = 0.648381
x = 0.166214, y = -0.120845, z = 0.444576, w = -0.871849
x = -0.145305, y = 0.0877844, z = -0.333539, w = 0.927325
x = 0.919951, y = 0.0494401, z = -0.388855, w = 0.00610864
x = -0.932569, y = -0.000973643, z = 0.259287, w = 0.251168
x = 0.908647, y = -0.0241883, z = -0.19133, w = -0.370363
x = -0.16837, y = 0.0345562, z = 0.216281, w = -0.961083
x = 0.276531, y = -0.0390484, z = -0.199478, w = 0.939263
x = -0.296471, y = 0.0416263, z = 0.169017, w = -0.939045
x = -0.958446, y = 0.0440637, z = 0.128552, w = 0.250825
x = -0.805824, y = 0.0753357, z = 0.156674, w = -0.566062
x = 0.764359, y = -0.0811747, z = -0.14252, w = 0.623581
x = -0.0760371, y = 0.0481796, z = 0.0723445, w = -0.993309
x = -0.969473, y = 0.0534581, z = 0.0877242, w = 0.22264
x = -0.232065, y = 0.045803, z = 0.0629349, w = -0.969581
x = -0.93228, y = 0.0412608, z = 0.0598008, w = 0.354367
x = -0.534353, y = 0.0583617, z = 0.052741, w = -0.841593
x = 0.0781608, y = 0.0301319, z = 0.00815857, w = -0.996452
x = -0.997097, y = 0.0665796, z = 0.0341238, w = -0.0141593
x = -0.0123041, y = 0.0369049, z = -0.00125377, w = -0.999242
x = -0.651476, y = 0.0125129, z = 0.0187698, w = 0.758334
x = -0.541216, y = 0.0340027, z = 0.00487014, w = -0.840182
x = -0.101755, y = -0.0118427, z = 0.0129498, w = 0.994655
x = 0.775117, y = -0.0400892, z = 0.0166746, w = 0.630324
x = -0.0433623, y = 0.0277767, z = -0.0307343, w = -0.9982
x = -0.572428, y = 0.0567228, z = -0.048229, w = -0.816567
x = -0.590887, y = 0.063415, z = -0.0596667, w = -0.802042
x = -0.763986, y = 0.0273132, z = -0.00918104, w = 0.644589
x = 0.0570255, y = 0.0318904, z = -0.0460387, w = -0.996801
x = 0.949336, y = -0.0557187, z = 0.0305341, w = -0.307774
x = -0.709051, y = 0.0703818, z = -0.0584303, w = -0.699199
x = -0.326438, y = 0.0444645, z = -0.053126, w = -0.942676
x = -0.201093, y = -0.01543, z = 0.0347564, w = 0.978834
x = -0.919636, y = 0.0390587, z = -0.0676695, w = -0.384922
x = -0.691544, y = 0.0279492, z = -0.0781802, w = -0.717547
x = -0.992682, y = 0.00920185, z = -0.0688447, w = 0.0987833
x = -0.979055, y = -0.0092516, z = -0.0773443, w = 0.188108
x = -0.749711, y = -0.017549, z = -0.112487, w = -0.651899
